Name,Country,Political Group,National Party,Committee Role,Role,Facebook,Twitter,Instagram,Profile URL
Danilo DELLA VALLE,Italy,The Left group in the European Parliament - GUE/NGL,Movimento 5 Stelle (Italy),Substitute,Member,https://www.facebook.com/DaniloDellaValleM5S,https://x.com/dani_dellavalle?s=21&t=v9yqxU-VlZX98bNKKUToPQ,Not found,https://www.europarl.europa.eu/meps/en/257155
Ruth FIRMENICH,Germany,Non-attached Members,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit (Germany),Substitute,Not found,Not found,Not found,Not found,https://www.europarl.europa.eu/meps/en/25758
Sandra GÓMEZ LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español (Spain),Substitute,Member,https://www.facebook.com/gomezlopezsandra/,https://x.com/sangomezlopez?lang=bn,Not found,https://www.europarl.europa.eu/meps/en/256997
Hana JALLOUL MURO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español (Spain),Substitute,Member,Not found,https://www.twitter.com/jalloul_hana,Not found,https://www.europarl.europa.eu/meps/en/256992
Marc JONGEN,Germany,Europe of Sovereign Nations Group,Alternative für Deutschland (Germany),Substitute,Member of the Bureau,Not found,Not found,Not found,https://www.europarl.europa.eu/meps/en/256942
Mariusz KAMIŃSKI,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość (Poland),Substitute,Member,Not found,Not found,Not found,https://www.europarl.europa.eu/meps/en/257056
Thierry MARIANI,France,Patriots for Europe Group,Rassemblement national (France),Substitute,Member,https://www.facebook.com/ThierryMariani/,https://twitter.com/thierrymariani,Not found,https://www.europarl.europa.eu/meps/en/197623
Tiago MOREIRA DE SÁ,Portugal,Patriots for Europe Group,Chega (Portugal),Substitute,Member,Not found,Not found,Not found,https://www.europarl.europa.eu/meps/en/257054
Ştefan MUŞOIU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat (Romania),Substitute,Member,https://www.facebook.com/Stefan.Musoiu0616/,Not found,Not found,https://www.europarl.europa.eu/meps/en/257103
Hannah NEUMANN,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen (Germany),Substitute,Member,https://www.facebook.com/HNeumannMEP/,https://twitter.com/HNeumannMEP,Not found,https://www.europarl.europa.eu/meps/en/197464
Maria NOICHL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands (Germany),Substitute,Member,https://www.facebook.com/noichl.eu,https://x.com/MariaNoichl,Not found,https://www.europarl.europa.eu/meps/en/124836
Jan-Christoph OETJEN,Germany,Renew Europe Group,Freie Demokratische Partei (Germany),Substitute,Member,https://www.facebook.com/Oetjen.Jan.Christoph/,https://twitter.com/jcoetjen,Not found,https://www.europarl.europa.eu/meps/en/197432
Aodhán Ó RÍORDÁIN,Ireland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Labour Party (Ireland),Substitute,Member,Not found,Not found,Not found,https://www.europarl.europa.eu/meps/en/257238
Bert-Jan RUISSEN,Netherlands,European Conservatives and Reformists Group,Staatkundig Gereformeerde Partij (Netherlands),Substitute,Member of the Bureau,https://www.facebook.com/bertjanruissen/,https://twitter.com/hjaruissen,Not found,https://www.europarl.europa.eu/meps/en/197773
Ilaria SALIS,Italy,The Left group in the European Parliament - GUE/NGL,Alleanza Verdi e Sinistra (Italy),Substitute,Member of the Bureau,Not found,Not found,Not found,https://www.europarl.europa.eu/meps/en/257127
Alice TEODORESCU MÅWE,Sweden,Group of the European People's Party (Christian Democrats),Kristdemokraterna (Sweden),Substitute,Member,https://www.facebook.com/aliceteodorescu13/,https://x.com/alicemedce,Not found,https://www.europarl.europa.eu/meps/en/257089
Waldemar TOMASZEWSKI,Lithuania,European Conservatives and Reformists Group,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga (Lithuania),Substitute,Member of the Bureau,https://www.facebook.com/VTomasevski,Not found,Not found,https://www.europarl.europa.eu/meps/en/96697
Adrián VÁZQUEZ LÁZARA,Spain,Group of the European People's Party (Christian Democrats),Partido Popular (Spain),Substitute,Member,Not found,https://twitter.com/adrianvl1982,Not found,https://www.europarl.europa.eu/meps/en/204400
